length,coverage,directness
7816.027999999998,8.130957402162762,0.7798407468176557
14999.670999999997,14.192479314880885,0.6569721736753285
19591.177000000018,18.15626554656583,0.6320193145820782
26152.418999999998,24.09641310483205,0.5856345399947793
30186.523000000016,27.952206265783026,0.5853645517335695
34497.22499999998,30.5536707144133,0.6407302559890227
45260.65599999999,39.108411543075604,0.6731168668023547
48030.43800000003,41.70817659439215,0.6595214017459925
54503.165000000066,46.92734764201349,0.6585006604821181
64771.11800000013,54.618128258153746,0.6436191148756808
66613.05600000016,56.37557312731435,0.6494684346065416
70410.4800000001,58.63396492768209,0.6390737597275247
75522.44599999998,62.12913110421789,0.6347505484954654
80527.97099999993,65.06772500167804,0.6532711325940644
90987.88499999975,71.08309756716102,0.6658738694027069
94676.66899999962,72.38517829397286,0.6792800688696766
101049.1319999996,76.21588531311325,0.6858311684236904
106305.5929999997,77.11856356360056,0.7022482963879141
106305.5929999997,77.11856356360056,0.7045749195642892
112663.56499999967,80.26678313493638,0.7027684063283273
116140.7149999996,80.9683357952483,0.7016672742935547
119089.79999999955,81.09308021918604,0.7142330371727107
125077.2619999997,83.86709944601574,0.7138244632068748
125077.2619999997,83.86709944601574,0.7071706883465669
130286.15799999976,85.87628845894193,0.7110385219657789
134732.55599999975,86.2307457374955,0.7152806556343829
138221.50299999956,87.15923695577803,0.7154557772585064
141258.63099999962,87.44526225710305,0.7159207394664405
145554.2639999994,88.61762645245479,0.7167394966463949
149138.39999999967,89.0515748444988,0.7138809001738367
152796.51999999984,89.5941489087458,0.7176117604925573
162961.92500000037,91.28188043759803,0.7117361260895838
162961.92500000037,91.28188043759803,0.7111782619650902
162961.92500000037,91.28188043759803,0.7166693322185571
174352.0380000005,93.05427227756103,0.7159499489251954
174352.0380000005,93.05427227756103,0.717221916009415
186190.0100000004,95.1653800654171,0.7163821035373046
186190.0100000004,95.1653800654171,0.7169977544923846
186190.0100000004,95.1653800654171,0.717209995217957
186190.0100000004,95.1653800654171,0.7207121807873296
8810.562,9.623615280430633,0.7696795120514833
14930.248000000003,15.098642071410874,0.7331215952886679
19913.418999999994,18.5158061408985,0.5341204412150662
28936.191000000024,25.639086315657273,0.59093462796825
31897.592000000022,29.214003963563545,0.6038179920463285
42490.109000000026,36.417247943792525,0.5642299863841435
45509.755000000034,38.95018931872905,0.5685323998323892
50591.62900000006,42.41781754144754,0.6135645681723992
58983.15000000006,46.17818926674406,0.6144177830798927
61813.372000000076,48.6735611032818,0.6167407318489012
71133.01899999987,53.168259169123885,0.6350807582194561
74125.10299999978,54.262116588981186,0.6307358434034898
79523.03099999974,58.099024733819974,0.6342868440030174
84277.83699999977,62.339100162225726,0.6363211736271467
88819.17699999979,66.08166649222827,0.6288917900328375
93070.71399999972,66.94189975534852,0.6494915422537578
99759.04299999977,71.63444069481709,0.6329310468715293
105277.86099999987,74.71549199955936,0.6371808827660501
114242.00899999996,79.96546386923822,0.6392785495252161
118253.04799999998,81.19090675538403,0.6400337581488391
119904.44900000004,81.59913207352058,0.6502848455048534
123514.34700000007,82.8780723554177,0.6465693182767269
8810.562,9.623615280430633,0.76967951205148
14930.248000000003,15.098642071410874,0.7331215952886706
19913.418999999994,18.5158061408985,0.5384940098343735
28936.191000000024,25.639086315657273,0.599321933538738
31897.592000000022,29.214003963563545,0.5844303944289789
42490.109000000026,36.417247943792525,0.5655755916340336
45509.755000000034,38.95018931872905,0.5572279557441758
50591.62900000006,42.417817541447825,0.60972141714623
8810.562,9.623615280430633,0.7696795120514829
14930.248000000003,15.098642071410874,0.7331215952886736
19913.418999999994,18.5158061408985,0.5401119606195657
28936.191000000024,25.639086315657273,0.5954847732017099
31897.592000000022,29.214003963563545,0.5878913672280085
42490.109000000026,36.417247943792525,0.5563997096513834
45509.755000000034,38.95018931872905,0.5535166719705868
50591.62900000006,42.41781754144754,0.6119184395069354
58983.15000000006,46.17818926674406,0.613488987158626
61813.372000000076,48.6735611032818,0.6163121641895184
71133.01899999987,53.168259169123885,0.6347071992061775
74125.10299999978,54.262116588981186,0.6340741972776127
79523.03099999974,58.099024733819974,0.6324669783340396
84277.83699999977,62.339100162225726,0.63691359973502
88819.17699999979,66.08166649222827,0.6327526408933052
93070.71399999972,66.94189975534852,0.6389540428049143
99759.04299999977,71.63444069481709,0.6383969833531095
105277.86099999987,74.71549199955936,0.6431647952882092
114242.00899999996,79.96546386923822,0.6405118894258717
118253.04799999998,81.19090675538403,0.642519585402879
119904.44900000004,81.59913207352058,0.6396367244979233
123514.34700000007,82.8780723554177,0.6460830318539373
129763.22700000014,83.7262799378977,0.6503222514060849
133249.18700000015,85.70899442471676,0.6558425518429075
134256.12400000013,85.70900085970007,0.6614737324195075
141795.78999999998,87.14858756361822,0.6591595109730637
141795.78999999998,87.14858756361822,0.6614379585324499
143713.11100000003,87.45861894856633,0.6578754634061826
148111.4120000002,88.71916892558127,0.6608398497891513
153257.2870000003,89.84361109558607,0.663445716593688
159033.6070000006,90.33222822008632,0.6687450859918618
162302.29400000063,91.93484414250422,0.663147826728518
167118.58600000045,92.5229501816558,0.6693044244424742
170570.43600000037,93.68290079178156,0.6732930700035038
179079.09800000026,96.24587404788915,0.6695535591960814
179079.09800000026,96.24587404788915,0.6686294341691879
184003.0740000004,96.45232125685848,0.6865069415372025
184003.0740000004,96.45232125685848,0.6898167451406113
184003.0740000004,96.45232125685848,0.687380722244635
184003.0740000004,96.45232125685848,0.6854739327088238
